From,To,x,p_max
1,2,0.0146,140.0
1,3,0.2253,140.0
1,5,0.0907,280.0
2,4,0.1356,140.0
2,6,0.205,140.0
3,9,0.1271,140.0
3,24,0.084,320.0
4,9,0.111,140.0
5,10,0.094,280.0
6,10,0.0642,140.0
7,8,0.0652,280.0
8,9,0.1762,140.0
8,10,0.1762,140.0
9,11,0.084,320.0
9,12,0.084,320.0
10,11,0.084,320.0
10,12,0.084,320.0
11,13,0.0488,400.0
11,14,0.0426,400.0
12,13,0.0488,400.0
12,23,0.0985,400.0
13,23,0.0884,200.0
14,16,0.0594,200.0
15,16,0.0172,400.0
15,21,0.0249,320.0
15,24,0.0529,400.0
16,17,0.0263,400.0
16,19,0.0234,400.0
17,18,0.0143,400.0
17,22,0.1069,400.0
18,21,0.0132,800.0
19,20,0.0203,800.0
20,23,0.0112,800.0
21,22,0.0692,400.0

